Script,What it does,Main outputs
pipeline/08b_figures_rem.py,"Plates of the REM administrative pathway, facetted by definition era.","outputs/<variant>/<language>/figures/fig3_rem_pathway.png, figS5_rem_june_december.png, figS6_rem_stable_panel.png, figS8_a05_age_sex.png, figS13_rem_seasonality.png"
pipeline/08c_figures_triangulation.py,"Triangulation plates across health, surveys and education.","outputs/<variant>/<language>/figures/fig4_triangulation.png, figS9_regional_maps.png, figS10_denominators.png, figS11_coverage_age_sex.png, figS12_junaeb_sex_level.png, figS14_deis_sex_age.png, figS15_controls.png"
pipeline/08d_figure_dataflow.py,"Data-workflow plate (Figure 1): what one row is in each source (records or people), how many there are at entry and after the autism selection with its exclusions, and what is finally counted against which denominator, with the warning that no record is linked across systems.",outputs/<variant>/<language>/figures/fig1_dataflow.png; outputs/tidy/dataflow_counts.csv
pipeline/09a_tables_main.py,Main tables formatted by variant and language.,"outputs/<variant>/<language>/tables/T*.csv (+ _numeric.csv, titles.json)"
pipeline/09b_tables_supplementary.py,Supplementary tables formatted by variant and language.,"outputs/<variant>/<language>/tables/S*.csv, ST*.csv (+ _numeric.csv, titles.json)"
pipeline/10_manuscript.py,Builds the Word/PDF manuscripts and appendices with docx_builder and the prose blocks.,manuscript/manuscript_<variant>_<language>.docx; build_report.json
pipeline/11_grd_episode_detail.py,"GRD episode detail: monthly calendar, length of stay, episode features, co-diagnoses, readmissions, multiplicity, territory and single-year age.",outputs/tidy/grd_monthly.csv; grd_length_of_stay.csv; grd_episode_features.csv; grd_codiagnoses.csv; grd_readmission.csv; grd_territory.csv
pipeline/12_methods_extended.py,"Renders the equations, verifies the extended-methodology blocks in both languages and variants, and writes its tables and controls.",outputs/equations/eq_*.png; outputs/<variant>/<language>/extra/tables/M*.csv; outputs/controls/12_methods_extended_controls.csv
pipeline/13_extra_figures_hospital.py,"Supplementary hospital plates and tables (EF1–EF10): calendar, length of stay, episode features, severity and lethality, co-diagnoses, readmissions, age, hospitals and DEIS detail.",outputs/<variant>/<language>/extra/figures/EF*.png; extra/tables/EF*.csv
pipeline/14_extra_figures_rem.py,"Supplementary REM plates and tables (E11–E19): A03 by era, A05 by region and by age and sex, P2/P6, A27/A28, distribution across establishments, monthly series and definition-era sensitivity.",outputs/<variant>/<language>/extra/figures/E1*.png; extra/tables/E1*.csv
pipeline/15_extra_figures_context.py,"Supplementary context plates and tables (E20 onwards): population structure, insurance coverage, REM-20 capacity, surveys, education, cross-source comparison and multisource sex ratio.",outputs/<variant>/<language>/extra/figures/E2*.png; extra/tables/E2*.csv
pipeline/15b_spatial_correlation.py,"Full spatial and territorial-correlation analysis: comuna indicators, indirect standardisation and empirical-Bayes smoothing, global and bivariate Moran's I, LISA and Gi* with the Benjamini–Hochberg threshold, cross-system correlation, Lorenz/Gini and Theil, rank stability, SAE deprivation and sensitivities of weights, scale and denominator.",outputs/tidy/spatial_<indicator>.csv; outputs/<variant>/<language>/extra/figures/E4*.png; extra/tables/E4*.csv
pipeline/16_extra_tables.py,"Extended series of supplementary tables (E60–E81) built only from already verified tidy tables and controls, including the project's asset inventory.","outputs/<variant>/<language>/extra/tables/E6*.csv, E7*.csv, E8*.csv"
pipeline/17_extended_material.py,"Verifies the supplementary part inside the manuscript (inventory, numbering, article limits, equations and aggregates) and drives the build of the documents.",outputs/controls/17_extended_material_controls.csv; extended_material_index.md
equations.py,Defines every formula of the study in LaTeX and renders the numbered PNGs.,outputs/equations/eq_NN_<key>[_a|_b|_c].png; outputs/equations/<language>/ (variantes de idioma)
prose_methods_extended.py,Bilingual extended methodology as docx_builder blocks (this document).,outputs/<variant>/<language>/extra/tables/M*.csv
prose_en.py / prose_es.py,Article and appendix text; every figure comes from values_<variant>.json.,manuscript/*.docx (10_manuscript.py)
docx_builder.py,"Bilingual Word builder (Times New Roman 12, A4, tables, plates, equations and references).",manuscript/*.docx
values.py,Extracts every citable figure from the tidy tables into values_<variant>.json.,outputs/values_<variant>.json
